
   INFO  Server running on [http://0.0.0.0:8000].

  Press Ctrl+C to stop the server

  2026-06-09 06:39:09 /rooms/protea-suite ........................ ~ 500.59ms
  2026-06-09 06:39:09 /build/assets/app-FqRu4hgF.css ............... ~ 0.07ms
  2026-06-09 06:39:09 /build/assets/swiper-Bdbi0viN.css ............ ~ 0.22ms
  2026-06-09 06:39:09 /build/assets/show-DVCvurhi.css .............. ~ 0.34ms
  2026-06-09 06:39:09 /build/assets/app-BwPlFyzZ.js ................ ~ 0.09ms
  2026-06-09 06:39:09 /build/assets/jsx-runtime-CKZy1FJb.js ........ ~ 0.24ms
  2026-06-09 06:39:09 /build/assets/dist-CL4wAwiB.js ............... ~ 0.35ms
  2026-06-09 06:39:09 /build/assets/button-Bf0xp51Y.js ............. ~ 0.49ms
  2026-06-09 06:39:09 /build/assets/dist-C4jq7h0_.js ............... ~ 0.62ms
  2026-06-09 06:39:09 /build/assets/wayfinder-7EWYoScv.js .......... ~ 0.78ms
  2026-06-09 06:39:09 /_debugbar/assets ............................ ~ 0.11ms
  2026-06-09 06:39:09 /build/assets/dist-RDu3SUJ-.js ............... ~ 0.37ms
  2026-06-09 06:39:09 /build/assets/utils-BNhDZxi-.js .............. ~ 0.51ms
  2026-06-09 06:39:09 /build/assets/show-CkN3mGW6.js ............... ~ 0.70ms
  2026-06-09 06:39:09 /build/assets/label-DGntAEVw.js .............. ~ 0.80ms
  2026-06-09 06:39:09 /build/assets/proxy-CN4nNpCa.js .............. ~ 0.67ms
  2026-06-09 06:39:09 /build/assets/arrow-left-BlRrQDQu.js ......... ~ 0.27ms
  2026-06-09 06:39:09 /build/assets/placeholder-room-CRuroccd.js ... ~ 0.17ms
  2026-06-09 06:39:09 /build/assets/check-Bgqh8qAC.js .............. ~ 0.25ms
  2026-06-09 06:39:09 /build/assets/circle-check-big-CTlll6Tr.js ... ~ 0.40ms
  2026-06-09 06:39:09 /build/assets/loader-circle-BM_2pNKX.js ...... ~ 0.57ms
  2026-06-09 06:39:09 /build/assets/main-layout-wNJoJ6lh.js ........ ~ 0.49ms
  2026-06-09 06:39:09 /build/assets/shield-check-wG4EKiAh.js ....... ~ 0.50ms
  2026-06-09 06:39:09 /build/assets/sparkles-CEbZ4tic.js ........... ~ 0.61ms
  2026-06-09 06:39:09 /build/assets/swiper-BvSkrS56.js ............. ~ 0.44ms
  2026-06-09 06:39:09 /build/assets/input-error-Df_F6NS4.js ........ ~ 0.58ms
  2026-06-09 06:39:09 /_debugbar/assets ............................ ~ 0.13ms
